codigo,uf,custo,valor_venda,produto,fornecedor
R18.0001,GO,98.57,265.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,TO,90.15,255.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,PA,88.26,272.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,MT,89.23,270.0,REDE BUCHO DE BOI,FRAN DULTRA
P16.0015,GO,2.46,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,TO,2.28,7.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,PA,2.44,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,MT,2.19,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0017,GO,24.4,70.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,TO,21.82,67.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,PA,24.27,70.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,MT,22.87,73.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
C3.0064,GO,39.55,100.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,TO,39.95,100.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,PA,39.55,102.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,MT,39.55,102.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0017,GO,24.84,84.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,TO,28.25,84.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,PA,27.77,81.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,MT,27.97,81.0,CAPA DE MAQUINA COURINO,ALESSANDRA
T20.0054,GO,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,TO,12.07,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,PA,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,MT,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
M13.0001,GO,18.47,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,TO,18.34,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,PA,18.97,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,MT,18.14,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
C3.0023,GO,58.55,168.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,TO,57.14,170.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,PA,65.19,170.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,MT,56.57,168.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0024,GO,107.41,320.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,TO,112.74,322.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,PA,110.27,322.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,MT,111.68,320.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0022,GO,40.97,120.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,TO,38.28,126.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,PA,43.73,128.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,MT,37.29,128.0,CARPETE PELUDO 100X150 P,PARAIBA
P16.0019,GO,40.97,122.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,TO,36.76,124.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,PA,47.98,124.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,MT,36.4,120.0,PASSADEIRA PELUDA,PARAIBA
K11.0019,GO,23.0,80.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,TO,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,PA,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,MT,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
T20.0055,GO,17.94,46.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,TO,18.12,48.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,PA,17.94,29.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,MT,17.94,29.0,TAPETE MACARRAO 50X80,PARAIBA
C3.0010,GO,27.03,68.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0010,TO,27.3,70.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0010,PA,27.03,72.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0010,MT,27.03,72.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0119,GO,27.87,76.0,CAIXA DE SOM Q 05,LUI ELETRONICOS
C3.0119,TO,28.15,78.0,CAIXA DE SOM Q 05,LUI ELETRONICOS
C3.0119,PA,27.87,80.0,CAIXA DE SOM Q 05,LUI ELETRONICOS
C3.0119,MT,27.87,80.0,CAIXA DE SOM Q 05,LUI ELETRONICOS
B2.0001,GO,51.93,146.0,BOLSA MOCHILA,JULIA BOLSAS
B2.0001,TO,52.45,156.0,BOLSA MOCHILA,JULIA BOLSAS
B2.0001,PA,51.93,158.0,BOLSA MOCHILA,JULIA BOLSAS
B2.0001,MT,51.93,158.0,BOLSA MOCHILA,JULIA BOLSAS
T20.0011,GO,16.96,40.0,T BAN ADULTO ESPERANCA,ELOIM
T20.0011,TO,17.13,42.0,T BAN ADULTO ESPERANCA,ELOIM
T20.0011,PA,16.96,44.0,T BAN ADULTO ESPERANCA,ELOIM
T20.0011,MT,16.96,44.0,T BAN ADULTO ESPERANCA,ELOIM
T20.0012,GO,16.96,40.0,T BAN ADULTO DUNAMIS,ELOIM
T20.0012,TO,17.13,42.0,T BAN ADULTO DUNAMIS,ELOIM
T20.0012,PA,16.96,44.0,T BAN ADULTO DUNAMIS,ELOIM
T20.0012,MT,16.96,44.0,T BAN ADULTO DUNAMIS,ELOIM
J10.0027,GO,35.12,57.0,JOGO DE BANHEIRO MACARRAO,PARAIBA
J10.0027,TO,35.47,57.0,JOGO DE BANHEIRO MACARRAO,PARAIBA
J10.0027,PA,35.12,57.0,JOGO DE BANHEIRO MACARRAO,PARAIBA
J10.0027,MT,35.12,57.0,JOGO DE BANHEIRO MACARRAO,PARAIBA
T20.0017,GO,17.32,58.0,T BAN ADULTO LEPPER,LEPPER
T20.0017,TO,17.49,60.0,T BAN ADULTO LEPPER,LEPPER
T20.0017,PA,17.32,62.0,T BAN ADULTO LEPPER,LEPPER
T20.0017,MT,17.32,62.0,T BAN ADULTO LEPPER,LEPPER
T20.0069,GO,18.77,56.0,TRAVESSEIRO SILICONE,FREITAS & QUALHATO
T20.0069,TO,19.41,62.0,TRAVESSEIRO SILICONE,FREITAS & QUALHATO
T20.0069,PA,18.96,64.0,TRAVESSEIRO SILICONE,FREITAS & QUALHATO
T20.0069,MT,18.04,64.0,TRAVESSEIRO SILICONE,FREITAS & QUALHATO
T20.0018,GO,35.31,96.0,T BAN ADULTO LYON IBIZA,CAVIQUIOLI
T20.0018,TO,35.66,98.0,T BAN ADULTO LYON IBIZA,CAVIQUIOLI
T20.0018,PA,35.31,98.0,T BAN ADULTO LYON IBIZA,CAVIQUIOLI
T20.0018,MT,35.31,98.0,T BAN ADULTO LYON IBIZA,CAVIQUIOLI
T20.0116,GO,15.58,54.0,T BAN INFANTIL KIDS,LEPPER
T20.0116,TO,19.22,54.0,T BAN INFANTIL KIDS,LEPPER
T20.0116,PA,18.29,54.0,T BAN INFANTIL KIDS,LEPPER
T20.0116,MT,15.58,54.0,T BAN INFANTIL KIDS,LEPPER
C3.0006,GO,62.83,186.0,COLCHA ELEGANCE ESTAMP CASAL 220X240,HABITAT
C3.0006,TO,66.44,190.0,COLCHA ELEGANCE ESTAMP CASAL 220X240,HABITAT
C3.0006,PA,62.83,192.0,COLCHA ELEGANCE ESTAMP CASAL 220X240,HABITAT
C3.0006,MT,62.83,186.0,COLCHA ELEGANCE ESTAMP CASAL 220X240,HABITAT
C3.0008,GO,73.73,196.0,COLCHA ELEGANCE ESTAMP KING 260X280,HABITAT
C3.0008,TO,74.47,196.0,COLCHA ELEGANCE ESTAMP KING 260X280,HABITAT
C3.0008,PA,73.73,196.0,COLCHA ELEGANCE ESTAMP KING 260X280,HABITAT
C3.0008,MT,76.14,196.0,COLCHA ELEGANCE ESTAMP KING 260X280,HABITAT
C3.0067,GO,108.15,268.0,COLCHA CASAL LOFT 220X240,CAMESA
C3.0067,TO,109.23,270.0,COLCHA CASAL LOFT 220X240,CAMESA
C3.0067,PA,108.15,270.0,COLCHA CASAL LOFT 220X240,CAMESA
C3.0067,MT,108.15,216.0,COLCHA CASAL LOFT 220X240,CAMESA
C3.0068,GO,129.7,320.0,COLCHA CASAL LOFT KING 260X280,CAMESA
C3.0068,TO,131.0,326.0,COLCHA CASAL LOFT KING 260X280,CAMESA
C3.0068,PA,129.7,326.0,COLCHA CASAL LOFT KING 260X280,CAMESA
C3.0068,MT,129.7,326.0,COLCHA CASAL LOFT KING 260X280,CAMESA
V22.0001,GO,14.93,44.0,VARAO CORTINA 2MT,JC ACESSORIOS
V22.0001,TO,14.47,44.0,VARAO CORTINA 2MT,JC ACESSORIOS
V22.0001,PA,13.86,44.0,VARAO CORTINA 2MT,JC ACESSORIOS
V22.0001,MT,13.98,44.0,VARAO CORTINA 2MT,JC ACESSORIOS
V22.0002,GO,22.18,64.0,VARAO CORTINA 3MT,JC ACESSORIOS
V22.0002,TO,20.58,56.0,VARAO CORTINA 3MT,JC ACESSORIOS
V22.0002,PA,18.82,66.0,VARAO CORTINA 3MT,JC ACESSORIOS
V22.0002,MT,19.9,58.0,VARAO CORTINA 3MT,JC ACESSORIOS
C3.0130,GO,143.53,350.0,COLCHA TEXTIL ARTE ELEGANCE KING 280X260,TEXTIL ARTE
C3.0130,TO,144.97,360.0,COLCHA TEXTIL ARTE ELEGANCE KING 280X260,TEXTIL ARTE
C3.0130,PA,143.53,360.0,COLCHA TEXTIL ARTE ELEGANCE KING 280X260,TEXTIL ARTE
C3.0130,MT,143.53,360.0,COLCHA TEXTIL ARTE ELEGANCE KING 280X260,TEXTIL ARTE
E5.0006,GO,21.77,54.0,ESCORREDOR DE LOUCA KIT 2 PCS,TEXTIL ARTE
E5.0006,TO,21.99,56.0,ESCORREDOR DE LOUCA KIT 2 PCS,TEXTIL ARTE
E5.0006,PA,21.77,56.0,ESCORREDOR DE LOUCA KIT 2 PCS,TEXTIL ARTE
E5.0006,MT,21.77,56.0,ESCORREDOR DE LOUCA KIT 2 PCS,TEXTIL ARTE
J10.0035,GO,27.46,68.0,JOGO AMERICANO KIT 4 PCS PVC,TEXTIL ARTE
J10.0035,TO,27.74,70.0,JOGO AMERICANO KIT 4 PCS PVC,TEXTIL ARTE
J10.0035,PA,27.46,70.0,JOGO AMERICANO KIT 4 PCS PVC,TEXTIL ARTE
J10.0035,MT,27.46,70.0,JOGO AMERICANO KIT 4 PCS PVC,TEXTIL ARTE
C3.0131,GO,155.81,388.0,COLCHA TEXTIL ARTE GLAMOUR CASAL 220X240,TEXTIL ARTE
C3.0131,TO,157.37,392.0,COLCHA TEXTIL ARTE GLAMOUR CASAL 220X240,TEXTIL ARTE
C3.0131,PA,155.81,392.0,COLCHA TEXTIL ARTE GLAMOUR CASAL 220X240,TEXTIL ARTE
C3.0131,MT,155.81,392.0,COLCHA TEXTIL ARTE GLAMOUR CASAL 220X240,TEXTIL ARTE
C3.0132,GO,178.71,445.0,COLCHA TEXTIL ARTE GLAMOUR QUEEN 240X260,TEXTIL ARTE
C3.0132,TO,180.49,450.0,COLCHA TEXTIL ARTE GLAMOUR QUEEN 240X260,TEXTIL ARTE
C3.0132,PA,178.71,450.0,COLCHA TEXTIL ARTE GLAMOUR QUEEN 240X260,TEXTIL ARTE
C3.0132,MT,178.71,450.0,COLCHA TEXTIL ARTE GLAMOUR QUEEN 240X260,TEXTIL ARTE
C3.0133,GO,87.12,216.0,COLCHA TEXTIL ARTE VENEZA CASAL 220X240,TEXTIL ARTE
C3.0133,TO,87.99,220.0,COLCHA TEXTIL ARTE VENEZA CASAL 220X240,TEXTIL ARTE
C3.0133,PA,87.12,220.0,COLCHA TEXTIL ARTE VENEZA CASAL 220X240,TEXTIL ARTE
C3.0133,MT,87.12,220.0,COLCHA TEXTIL ARTE VENEZA CASAL 220X240,TEXTIL ARTE
E5.0005,GO,54.4,135.0,EDREDON ALMOFADA INFANTIL,TEXTIL ARTE
E5.0005,TO,54.95,136.0,EDREDON ALMOFADA INFANTIL,TEXTIL ARTE
E5.0005,PA,54.4,136.0,EDREDON ALMOFADA INFANTIL,TEXTIL ARTE
E5.0005,MT,54.4,136.0,EDREDON ALMOFADA INFANTIL,TEXTIL ARTE
K11.0035,GO,6.16,16.0,KIT PANO LIMPEZA 3PCS 30X30,TEXTIL ARTE
K11.0035,TO,6.22,16.0,KIT PANO LIMPEZA 3PCS 30X30,TEXTIL ARTE
K11.0035,PA,6.16,16.0,KIT PANO LIMPEZA 3PCS 30X30,TEXTIL ARTE
K11.0035,MT,6.16,16.0,KIT PANO LIMPEZA 3PCS 30X30,TEXTIL ARTE
F6.0009,GO,48.37,150.0,FAQUEIRO MONACO 24 PCS,AD MONACO
F6.0009,TO,49.18,152.0,FAQUEIRO MONACO 24 PCS,AD MONACO
F6.0009,PA,48.79,154.0,FAQUEIRO MONACO 24 PCS,AD MONACO
F6.0009,MT,48.37,154.0,FAQUEIRO MONACO 24 PCS,AD MONACO
T20.0026,GO,15.52,42.0,T BAN ADULTO PARIS,ENGOTEX
T20.0026,TO,15.67,42.0,T BAN ADULTO PARIS,ENGOTEX
T20.0026,PA,15.52,42.0,T BAN ADULTO PARIS,ENGOTEX
T20.0026,MT,15.52,42.0,T BAN ADULTO PARIS,ENGOTEX
T20.0003,GO,15.54,42.0,T BAN ADULTO AMANDA,ENGOTEX
T20.0003,TO,15.69,42.0,T BAN ADULTO AMANDA,ENGOTEX
T20.0003,PA,15.54,42.0,T BAN ADULTO AMANDA,ENGOTEX
T20.0003,MT,15.54,42.0,T BAN ADULTO AMANDA,ENGOTEX
T20.0114,GO,15.36,44.0,T BAN ADULTO IRIS,ENGOTEX
T20.0114,TO,15.51,44.0,T BAN ADULTO IRIS,ENGOTEX
T20.0114,PA,15.36,44.0,T BAN ADULTO IRIS,ENGOTEX
T20.0114,MT,15.36,44.0,T BAN ADULTO IRIS,ENGOTEX
C3.0071,GO,103.11,256.0,COLCHA CASAL PATCHWORK 220X240,CAMESA
C3.0071,TO,104.14,260.0,COLCHA CASAL PATCHWORK 220X240,CAMESA
C3.0071,PA,103.11,260.0,COLCHA CASAL PATCHWORK 220X240,CAMESA
C3.0071,MT,103.11,260.0,COLCHA CASAL PATCHWORK 220X240,CAMESA
C3.0072,GO,122.38,304.0,COLCHA CASAL KING PATCHWORK 260X280,CAMESA
C3.0072,TO,123.6,310.0,COLCHA CASAL KING PATCHWORK 260X280,CAMESA
C3.0072,PA,122.38,310.0,COLCHA CASAL KING PATCHWORK 260X280,CAMESA
C3.0072,MT,122.38,310.0,COLCHA CASAL KING PATCHWORK 260X280,CAMESA
J10.0004,GO,162.09,452.0,JOGO DE PANELA FUNDIDA 18 A 26,DENISE ALUMINIOS ALUMINIOS
J10.0004,TO,163.71,456.0,JOGO DE PANELA FUNDIDA 18 A 26,DENISE ALUMINIOS ALUMINIOS
J10.0004,PA,162.09,456.0,JOGO DE PANELA FUNDIDA 18 A 26,DENISE ALUMINIOS ALUMINIOS
J10.0004,MT,162.09,456.0,JOGO DE PANELA FUNDIDA 18 A 26,DENISE ALUMINIOS ALUMINIOS
P16.0033,GO,116.42,264.0,PANELA FUNDIDA 36CM,DENISE ALUMINIOS ALUMINIOS
P16.0033,TO,120.13,344.0,PANELA FUNDIDA 36CM,DENISE ALUMINIOS ALUMINIOS
P16.0033,PA,122.42,268.0,PANELA FUNDIDA 36CM,DENISE ALUMINIOS ALUMINIOS
P16.0033,MT,119.17,342.0,PANELA FUNDIDA 36CM,DENISE ALUMINIOS ALUMINIOS
F6.0006,GO,58.85,148.0,FERVEDOR INDERRAMAVEL 3.5LTS,DENISE ALUMINIOS ALUMINIOS
F6.0006,TO,63.17,180.0,FERVEDOR INDERRAMAVEL 3.5LTS,DENISE ALUMINIOS ALUMINIOS
F6.0006,PA,58.35,155.0,FERVEDOR INDERRAMAVEL 3.5LTS,DENISE ALUMINIOS ALUMINIOS
F6.0006,MT,58.85,155.0,FERVEDOR INDERRAMAVEL 3.5LTS,DENISE ALUMINIOS ALUMINIOS
C3.0040,GO,48.77,148.0,COBERTOR TOQUE DE SEDA LISO 220X240,NIAZITEX
C3.0040,TO,52.16,156.0,COBERTOR TOQUE DE SEDA LISO 220X240,NIAZITEX
C3.0040,PA,46.0,156.0,COBERTOR TOQUE DE SEDA LISO 220X240,NIAZITEX
C3.0040,MT,47.41,148.0,COBERTOR TOQUE DE SEDA LISO 220X240,NIAZITEX
C3.0135,GO,102.73,292.0,COBREDOM MONTREAL LISO 220X240,CANDURA DIST
C3.0135,TO,102.92,296.0,COBREDOM MONTREAL LISO 220X240,CANDURA DIST
C3.0135,PA,102.15,298.0,COBREDOM MONTREAL LISO 220X240,CANDURA DIST
C3.0135,MT,101.6,296.0,COBREDOM MONTREAL LISO 220X240,CANDURA DIST
J10.0032,GO,186.75,696.0,JOGO DE PANELA,CAVA
J10.0032,TO,189.64,698.0,JOGO DE PANELA,CAVA
J10.0032,PA,263.51,698.0,JOGO DE PANELA,CAVA
J10.0032,MT,186.75,696.0,JOGO DE PANELA,CAVA
C2.0029,GO,45.93,144.0,CARPETE INFANTIL 100X140,0
C2.0029,TO,46.39,146.0,CARPETE INFANTIL 100X140,0
C2.0029,PA,45.93,148.0,CARPETE INFANTIL 100X140,0
C2.0029,MT,45.93,148.0,CARPETE INFANTIL 100X140,0
T20.0115,GO,14.01,32.0,TAPETE PELUDO PORTA 050X080,PARAIBA
T20.0115,TO,14.15,34.0,TAPETE PELUDO PORTA 050X080,PARAIBA
T20.0115,PA,14.01,17.0,TAPETE PELUDO PORTA 050X080,PARAIBA
T20.0115,MT,14.01,17.0,TAPETE PELUDO PORTA 050X080,PARAIBA
C3.0046,GO,63.25,186.0,COLCHA ELEGANCE LISA CASAL 220X240,HABITAT
C3.0046,TO,66.65,192.0,COLCHA ELEGANCE LISA CASAL 220X240,HABITAT
C3.0046,PA,63.25,192.0,COLCHA ELEGANCE LISA CASAL 220X240,HABITAT
C3.0046,MT,63.25,186.0,COLCHA ELEGANCE LISA CASAL 220X240,HABITAT
C3.0048,GO,76.96,222.0,COLCHA ELEGANCE LISA KING 260X280,HABITAT
C3.0048,TO,77.73,225.0,COLCHA ELEGANCE LISA KING 260X280,HABITAT
C3.0048,PA,76.96,225.0,COLCHA ELEGANCE LISA KING 260X280,HABITAT
C3.0048,MT,76.96,222.0,COLCHA ELEGANCE LISA KING 260X280,HABITAT
T20.0080,GO,12.88,32.0,TRITURADOR DE ALIMENTOS,KEITA
T20.0080,TO,13.01,21.0,TRITURADOR DE ALIMENTOS,KEITA
T20.0080,PA,12.88,29.0,TRITURADOR DE ALIMENTOS,KEITA
T20.0080,MT,12.88,29.0,TRITURADOR DE ALIMENTOS,KEITA
T20.0081,GO,16.55,44.0,CORTADOR DE ALIMENTOS,KEITA
T20.0081,TO,16.72,46.0,CORTADOR DE ALIMENTOS,KEITA
T20.0081,PA,16.55,46.0,CORTADOR DE ALIMENTOS,KEITA
T20.0081,MT,16.55,46.0,CORTADOR DE ALIMENTOS,KEITA
R18.0002,GO,62.27,179.0,REDE JAGUARUANA,FRAN DULTRA
R18.0002,TO,57.9,170.0,REDE JAGUARUANA,FRAN DULTRA
R18.0002,PA,56.99,168.0,REDE JAGUARUANA,FRAN DULTRA
R18.0002,MT,55.26,170.0,REDE JAGUARUANA,FRAN DULTRA
C3.0036,GO,19.97,55.0,COBERTINHA,FRAN DULTRA
C3.0036,TO,20.17,56.0,COBERTINHA,FRAN DULTRA
C3.0036,PA,19.97,56.0,COBERTINHA,FRAN DULTRA
C3.0036,MT,19.97,56.0,COBERTINHA,FRAN DULTRA
T20.0117,GO,15.02,38.0,T BAN INFANTIL VIENA,MAFRATEX
T20.0117,TO,15.17,40.0,T BAN INFANTIL VIENA,MAFRATEX
T20.0117,PA,15.02,40.0,T BAN INFANTIL VIENA,MAFRATEX
T20.0117,MT,15.02,40.0,T BAN INFANTIL VIENA,MAFRATEX
T20.0118,GO,29.35,74.0,T BAN ADULTO DUBAI PREMIUM,MAFRATEX
T20.0118,TO,29.65,76.0,T BAN ADULTO DUBAI PREMIUM,MAFRATEX
T20.0118,PA,29.35,76.0,T BAN ADULTO DUBAI PREMIUM,MAFRATEX
T20.0118,MT,29.35,76.0,T BAN ADULTO DUBAI PREMIUM,MAFRATEX
T20.0031,GO,19.2,48.0,T BAN ADULTO MUNIQUE,MAFRATEX
T20.0031,TO,19.39,50.0,T BAN ADULTO MUNIQUE,MAFRATEX
T20.0031,PA,19.2,50.0,T BAN ADULTO MUNIQUE,MAFRATEX
T20.0031,MT,19.2,50.0,T BAN ADULTO MUNIQUE,MAFRATEX
T20.0119,GO,4.94,14.0,T ROSTO SALAO BRANCA E PRETA,MAFRATEX
T20.0119,TO,4.99,15.0,T ROSTO SALAO BRANCA E PRETA,MAFRATEX
T20.0119,PA,4.94,18.0,T ROSTO SALAO BRANCA E PRETA,MAFRATEX
T20.0119,MT,4.94,18.0,T ROSTO SALAO BRANCA E PRETA,MAFRATEX
T20.0016,GO,17.0,42.0,T BAN ADULTO AZALEIA,MAFRATEX
T20.0016,TO,17.17,46.0,T BAN ADULTO AZALEIA,MAFRATEX
T20.0016,PA,17.0,46.0,T BAN ADULTO AZALEIA,MAFRATEX
T20.0016,MT,17.0,46.0,T BAN ADULTO AZALEIA,MAFRATEX
T20.0065,GO,6.48,18.0,T ROSTO,MAFRATEX
T20.0065,TO,6.55,20.0,T ROSTO,MAFRATEX
T20.0065,PA,6.48,20.0,T ROSTO,MAFRATEX
T20.0065,MT,6.48,20.0,T ROSTO,MAFRATEX
T20.0120,GO,8.07,20.0,TOALHA DE PE,MAFRATEX
T20.0120,TO,8.15,22.0,TOALHA DE PE,MAFRATEX
T20.0120,PA,8.07,13.0,TOALHA DE PE,MAFRATEX
T20.0120,MT,8.07,13.0,TOALHA DE PE,MAFRATEX
T20.0121,GO,6.88,18.0,TOALHA COPA CHEF,MAFRATEX
T20.0121,TO,6.95,18.0,TOALHA COPA CHEF,MAFRATEX
T20.0121,PA,6.88,18.0,TOALHA COPA CHEF,MAFRATEX
T20.0121,MT,6.88,18.0,TOALHA COPA CHEF,MAFRATEX
J10.0041,GO,69.53,176.0,JOGO DE BANHO MUNIQUE 5 PCS,MAFRATEX
J10.0041,TO,70.23,176.0,JOGO DE BANHO MUNIQUE 5 PCS,MAFRATEX
J10.0041,PA,69.53,176.0,JOGO DE BANHO MUNIQUE 5 PCS,MAFRATEX
J10.0041,MT,69.53,176.0,JOGO DE BANHO MUNIQUE 5 PCS,MAFRATEX
T20.0123,GO,19.07,46.0,TAPETE PELUDO 040X090 CN393,CN BR IMPORTADORA
T20.0123,TO,19.26,48.0,TAPETE PELUDO 040X090 CN393,CN BR IMPORTADORA
T20.0123,PA,19.07,48.0,TAPETE PELUDO 040X090 CN393,CN BR IMPORTADORA
T20.0123,MT,19.07,48.0,TAPETE PELUDO 040X090 CN393,CN BR IMPORTADORA
T20.0122,GO,33.59,84.0,TAPETE PASSADEIRA MACARRAO 040X120,CN BR IMPORTADORA
T20.0122,TO,33.93,88.0,TAPETE PASSADEIRA MACARRAO 040X120,CN BR IMPORTADORA
T20.0122,PA,33.59,88.0,TAPETE PASSADEIRA MACARRAO 040X120,CN BR IMPORTADORA
T20.0122,MT,33.59,88.0,TAPETE PASSADEIRA MACARRAO 040X120,CN BR IMPORTADORA
M13.0002,GO,62.58,188.0,MANTA PELE DE CARNEIRO,PARAIBA
M13.0002,TO,64.04,190.0,MANTA PELE DE CARNEIRO,PARAIBA
M13.0002,PA,62.58,190.0,MANTA PELE DE CARNEIRO,PARAIBA
M13.0002,MT,63.39,190.0,MANTA PELE DE CARNEIRO,PARAIBA
C3.0134,GO,114.17,390.0,CARPETE GEOMETRICO G 200X250,PARAIBA
C3.0134,TO,115.32,396.0,CARPETE GEOMETRICO G 200X250,PARAIBA
C3.0134,PA,115.21,396.0,CARPETE GEOMETRICO G 200X250,PARAIBA
C3.0134,MT,114.17,390.0,CARPETE GEOMETRICO G 200X250,PARAIBA
M13.0008,GO,27.09,66.0,MANTA RISCADA,DCAZA
M13.0008,TO,27.36,68.0,MANTA RISCADA,DCAZA
M13.0008,PA,27.09,68.0,MANTA RISCADA,DCAZA
M13.0008,MT,27.09,68.0,MANTA RISCADA,DCAZA
C3.0028,GO,81.85,234.0,CARPETE GEOMETRICO M 150X200,PARAIBA
C3.0028,TO,70.1,236.0,CARPETE GEOMETRICO M 150X200,PARAIBA
C3.0028,PA,70.46,236.0,CARPETE GEOMETRICO M 150X200,PARAIBA
C3.0028,MT,69.34,234.0,CARPETE GEOMETRICO M 150X200,PARAIBA
T20.0046,GO,10.55,18.0,TAPETE PILAO 060X045,TOQUE IDEAL
T20.0046,TO,14.72,19.0,TAPETE PILAO 060X045,TOQUE IDEAL
T20.0046,PA,10.55,20.0,TAPETE PILAO 060X045,TOQUE IDEAL
T20.0046,MT,10.55,20.0,TAPETE PILAO 060X045,TOQUE IDEAL
C3.0136,GO,70.52,168.0,CORTINA ZURIQUE SUEDE 280X180,TOQUE IDEAL
C3.0136,TO,71.23,178.0,CORTINA ZURIQUE SUEDE 280X180,TOQUE IDEAL
C3.0136,PA,70.52,178.0,CORTINA ZURIQUE SUEDE 280X180,TOQUE IDEAL
C3.0136,MT,70.52,178.0,CORTINA ZURIQUE SUEDE 280X180,TOQUE IDEAL
K11.0037,GO,84.82,214.0,KIT ALMOFADA C CORTINA SUEDE,TOQUE IDEAL
K11.0037,TO,85.67,214.0,KIT ALMOFADA C CORTINA SUEDE,TOQUE IDEAL
K11.0037,PA,84.82,214.0,KIT ALMOFADA C CORTINA SUEDE,TOQUE IDEAL
K11.0037,MT,84.82,214.0,KIT ALMOFADA C CORTINA SUEDE,TOQUE IDEAL
T20.0124,GO,31.37,98.0,TRITURADOR ELETRICO 250ML,LUI ELETRONICOS
T20.0124,TO,31.68,98.0,TRITURADOR ELETRICO 250ML,LUI ELETRONICOS
T20.0124,PA,31.37,56.0,TRITURADOR ELETRICO 250ML,LUI ELETRONICOS
T20.0124,MT,31.37,56.0,TRITURADOR ELETRICO 250ML,LUI ELETRONICOS
K11.0038,GO,8.91,30.0,KIT MINI BAND ELASTICOS,LUI ELETRONICOS
K11.0038,TO,9.0,30.0,KIT MINI BAND ELASTICOS,LUI ELETRONICOS
K11.0038,PA,8.91,30.0,KIT MINI BAND ELASTICOS,LUI ELETRONICOS
K11.0038,MT,8.91,30.0,KIT MINI BAND ELASTICOS,LUI ELETRONICOS
K11.0039,GO,29.31,90.0,KIT 11 ELASTICOS ATIVIDADE FISICA,LUI ELETRONICOS
K11.0039,TO,29.6,90.0,KIT 11 ELASTICOS ATIVIDADE FISICA,LUI ELETRONICOS
K11.0039,PA,29.31,90.0,KIT 11 ELASTICOS ATIVIDADE FISICA,LUI ELETRONICOS
K11.0039,MT,29.31,90.0,KIT 11 ELASTICOS ATIVIDADE FISICA,LUI ELETRONICOS
L12.0019,GO,12.91,40.0,LAMPADA C SENSOR,LUI ELETRONICOS
